source_id,maker,document_title,document_type,url,date_read,access_notes
tata-nexon-om,Tata Motors,Tata Nexon.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/nexon-ev/nexon-ev-new-owners-manual.pdf,2026-09-22,"336pp. Warranty section p325-336, HV Battery Warranty from p331. Disallowed to automated retrieval by robots.txt; read in a browser."
tata-harrier-om,Tata Motors,Tata Harrier.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/harrier-ev-onwers-manual.pdf,2026-09-22,422pp.
tata-curvv-om,Tata Motors,Tata Curvv.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/curvv-ev/curvv-ev-owners-manual.pdf,2026-09-22,364pp.
tata-punch-om,Tata Motors,Tata Punch.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/punch-ev/april/punch-ev-mce-rev00-07-04-26.pdf,2026-09-22,306pp.
tata-tiago-om,Tata Motors,Tata Tiago.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/tiago-ev/tiago-ev-mce-2.pdf,2026-09-22,250pp.
tata-sierra-om,Tata Motors,Tata Sierra.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/sierra-ev/sierra-ev.pdf,2026-09-22,408pp. Carries the HV Battery Warranty but NOT the DC cycle cap.
tata-tigor-om,Tata Motors,Tata Tigor.ev owner's manual,owner_manual_pdf,https://ev.tata.cars/content/dam/tml/ev/pdf/owners-manual/tigor-ev/tigor-owners-manual.pdf,2026-09-22,261pp. Carries none of the Lifetime HV Battery Warranty apparatus.
tata-warranty-web,Tata Motors,Tata.ev warranty page,official_warranty_page,https://ev.tata.cars/service/warranty.html,2026-09-22,Publishes no charging condition of any kind.
mahindra-be6,Mahindra,BE 6 Warranty and Service Information Guide,warranty_booklet_pdf,https://www.mahindraelectricsuv.com/on/demandware.static/-/Library-Sites-eSUVSharedLibrary/default/dw2696a5b4/ImportantDocs/BE6_WSIG.pdf,2026-09-22,
mahindra-be6fe,Mahindra,BE 6 FE Warranty and Service Information Guide,warranty_booklet_pdf,https://www.mahindraelectricsuv.com/on/demandware.static/-/Library-Sites-eSUVSharedLibrary/default/dwadd59319/ImportantDocs/BE6FE_WSIG.pdf,2026-09-22,
mahindra-xev9e,Mahindra,XEV 9e Warranty and Service Information Guide,warranty_booklet_pdf,https://www.mahindraelectricsuv.com/on/demandware.static/-/Library-Sites-eSUVSharedLibrary/default/dw78109ccd/ImportantDocs/XEV9e_WSIG.pdf,2026-09-22,
mahindra-xev9s,Mahindra,XEV 9S Warranty and Service Information Guide,warranty_booklet_pdf,https://www.mahindraelectricsuv.com/on/demandware.static/-/Library-Sites-eSUVSharedLibrary/default/dw52810946/ImportantDocs/XEV9S_WSIG.pdf,2026-09-22,
mahindra-care,Mahindra,Mahindra care and maintenance page,official_warranty_page,https://auto.mahindra.com/care-and-maintenance.html,2026-09-22,Whole-vehicle warranty table only. No battery row for XUV400 or XUV 3XO EV.
mg-zsev,JSW MG Motor India,"MG ZS EV Service and Warranty Manual, Dec 25",warranty_booklet_pdf,https://s7ap1.scene7.com/is/content/mgmotor/mgmotor/documents//mg-the-all-new-zs-ev-service-and-warranty-manual-dec-25.pdf,2026-09-22,Full text contains no percentage figure of any kind.
mg-comet,JSW MG Motor India,"MG Comet EV Service and Warranty Manual, Jan 26",warranty_booklet_pdf,https://s7ap1.scene7.com/is/content/mgmotor/mgmotor/documents/MG%20Comet%20EV%20Service%20and%20Warranty%20Manual%20Jan%2026.pdf,2026-09-22,Full text contains no percentage figure of any kind.
mg-windsor,JSW MG Motor India,"MG Windsor EV PMS, Warranty and RSA",warranty_booklet_pdf,https://s7ap1.scene7.com/is/content/mgmotor/mgmotor/documents/windsor-ev-pms-warranty-and-rsa-july-28.pdf,2026-09-22,Full text contains no percentage figure of any kind.
kia-ev-owners,Kia India,Kia India EV owners warranty page,official_warranty_page,https://www.kia.com/in/service/ev-owners/know-you-kia-ev.html,2026-09-22,States a capacity warranty for EV6/EV9 with no percentage. 70% appears only for Carens Clavis EV and Syros EV.
kia-ev6-om,Kia India,Kia EV6 owner's manual,owner_manual_pdf,https://www.kia.com/content/dam/kia2/in/en/images/service/service-and-maintenance/owners-manual/New_EV6_Owners_manual.pdf,2026-09-22,605pp. Warranty chapter p590-598; capacity clause p592. No download link is exposed on Kia India's owner's manual page.
hyundai-warranty,Hyundai Motor India,Hyundai India warranty policy page,official_warranty_page,https://www.hyundai.com/in/en/connect-to-service/warranty-policy,2026-09-22,States batteries are warranted by their respective manufacturers and not by HMIL. No battery row in the warranty table.
hyundai-ioniq5-bro,Hyundai Motor India,IONIQ 5 e-brochure,brochure_pdf,https://www.hyundai.com/content/dam/hyundai/in/en/data/brochure/ioniq-5.pdf,2026-09-22,"The 8yr/160,000km figure appears only in marketing material."
hyundai-creta-page,Hyundai Motor India,Creta Electric model page,official_model_page,https://www.hyundai.com/in/en/find-a-car/creta-electric/highlights,2026-09-22,
byd-atto3,BYD India,BYD Atto 3 model page warranty table,official_model_page,https://bydautoindia.com/bydatto3,2026-09-22,Client-rendered; read in a browser. No standard warranty booklet published.
citroen-warranty,Citroen India,"C3, eC3, C3 Aircross and Basalt Maintenance and warranty guide",warranty_booklet_pdf,https://www.citroen.in/content/dam/citroen/india/service/warranty-pdf/Warranty_c3_ec3_aircross_basalt_June.pdf,2026-09-22,38pp. robots.txt disallows PDFs; read in a browser.
maruti-evitara-pr,Maruti Suzuki,e VITARA launch press release,press_release,https://www.marutisuzuki.com/corporate/media/press-releases/2026/february/india-goes-electric-with-maruti-suzuki-e-vitara-introductory-baas-price-starts,2026-09-22,The only published source for the battery term.
toyota-warranty,Toyota Kirloskar Motor,Toyota India warranty page,official_warranty_page,https://www.toyotabharat.com/q-service/warranty/,2026-09-22,
mb-eq-warranty,Mercedes-Benz India,EQ warranty terms and conditions,official_warranty_page,https://www.mercedes-benz.co.in/passengercars/services/service-warranty-terms-and-conditions/eq-warranty-terms-and-conditions.html,2026-09-22,The only India document in the audit that addresses adjudication.
bmw-warranty,BMW India,BMW India warranty policy,official_warranty_page,https://www.bmw.in/en/topics/owners/warranty-policy.html,2026-09-22,
volvo-warranty,Volvo India,Volvo India warranty page,official_warranty_page,https://www.volvocars.com/in/l/volvo-warranty/,2026-09-22,"Publishes no battery warranty term for India, though Volvo does in other markets."
ather-warranty,Ather Energy,Ather Warranty Policy 2024,warranty_booklet_pdf,https://media.atherenergy.com/Warranty_Policy_2024.pdf,2026-09-22,The clearest primary document of any two-wheel maker in the audit.
ather-faq,Ather Energy,Ather battery warranty FAQ,official_warranty_page,https://www.atherenergy.com/faq/vehicle/ather-battery-warranty,2026-09-22,
ola-tnc,Ola Electric,Ola battery warranty terms and conditions,official_warranty_page,https://www.olaelectric.com/battery-warranty-tnc,2026-09-22,Ola publishes three different base terms across three of its own pages.
tvs-iqube-om,TVS Motor,TVS iQube owner manual,owner_manual_pdf,https://www.tvsmotor.com/-/media/Feature/Owners/User-Manual/user-manual-iqube.pdf,2026-09-22,
bajaj-chetak-tc,Bajaj Auto,Chetak terms and conditions,official_warranty_page,https://www.chetak.com/terms-and-conditions,2026-09-22,Sets a 60% floor in one clause and excludes gradual capacity loss in another.
vida-warranty,Hero MotoCorp,VIDA warranty page,official_warranty_page,https://www.vidaworld.com/content/experience-fragments/vida/in/en/acpa_mod/topic/_17_warranty_/sub_topic/a--general-instructions-overall-vehicle-about-warranty/master.html,2026-09-22,
ampere-warranty,Ampere (Greaves),Ampere warranty page,official_warranty_page,https://ampere-electric.com/warranty,2026-09-22,
revolt-rv400,Revolt Motors,RV400 product page,official_model_page,https://www.revoltmotors.com/rv400,2026-09-22,Support pages are disallowed by robots.txt.
river-warranty,River,River extended warranty page,official_warranty_page,https://www.rideriver.com/care/extendedwarranty,2026-09-22,The only two-wheel maker in the audit publishing a price for its paid battery extension.
altigreen-warranty,Altigreen,Altigreen vehicle warranty page,official_warranty_page,https://www.altigreen.com/vehicle-warranty,2026-09-22,
